station_id,station_name,municipality,latitude,longitude,trip_count_fwd,trip_count_rev,trip_count_bidir,trip_count,electric_bike_percent_fwd,electric_bike_percent_rev,electric_bike_percent_bidir,electric_bike_percent,duration_avg_fwd,duration_avg_rev,duration_avg_bidir,duration_avg,electric_bike_duration_avg_fwd,electric_bike_duration_avg_rev,electric_bike_duration_avg_bidir,electric_bike_duration_avg,classic_bike_duration_avg_fwd,classic_bike_duration_avg_rev,classic_bike_duration_avg_bidir,classic_bike_duration_avg
A32000,Boston: Fan Pier,Boston,42.35338,-71.04456,9358,9733,19091,19091 (F: 9358 / R: 9733),32.0,31.0,31.0,31% (F: 32% / R: 31%),18.5,17.6,18.0,18.0 (F: 18.5 / R: 17.6),14.9,14.5,14.7,14.7 (F: 14.9 / R: 14.5),20.1,19.0,19.5,19.5 (F: 20.1 / R: 19.0)
A32001,Boston: Union Square - Brighton Ave at Cambridge St,Boston,42.35334,-71.13729,15059,15019,30078,30078 (F: 15059 / R: 15019),33.0,34.0,34.0,34% (F: 33% / R: 34%),16.2,16.9,16.5,16.5 (F: 16.2 / R: 16.9),14.4,14.7,14.5,14.5 (F: 14.4 / R: 14.7),17.2,17.9,17.5,17.5 (F: 17.2 / R: 17.9)
A32002,Boston: Commonwealth Ave at Agganis Way,Boston,42.35169,-71.11902,36782,37540,74322,74322 (F: 36782 / R: 37540),27.0,27.0,27.0,27% (F: 27% / R: 27%),13.4,14.0,13.7,13.7 (F: 13.4 / R: 14.0),11.6,11.6,11.6,11.6 (F: 11.6 / R: 11.6),14.0,14.8,14.4,14.4 (F: 14.0 / R: 14.8)
A32003,Boston: B.U. Central - 725 Comm. Ave.,Boston,42.35041,-71.10828,16139,16050,32189,32189 (F: 16139 / R: 16050),21.0,21.0,21.0,21% (F: 21% / R: 21%),14.8,15.0,14.9,14.9 (F: 14.8 / R: 15.0),10.9,12.4,11.7,11.7 (F: 10.9 / R: 12.4),15.8,15.7,15.8,15.8 (F: 15.8 / R: 15.7)
A32004,Boston: Longwood Ave at Binney St,Boston,42.33863,-71.10651,26540,28693,55233,55233 (F: 26540 / R: 28693),28.0,26.0,27.0,27% (F: 28% / R: 26%),15.7,14.6,15.1,15.1 (F: 15.7 / R: 14.6),13.3,12.9,13.1,13.1 (F: 13.3 / R: 12.9),16.6,15.2,15.9,15.9 (F: 16.6 / R: 15.2)
A32005,Boston: Brighton Mills - 370 Western Ave,Boston,42.36155,-71.13775,8504,8856,17360,17360 (F: 8504 / R: 8856),29.0,28.0,29.0,29% (F: 29% / R: 28%),19.5,19.1,19.3,19.3 (F: 19.5 / R: 19.1),15.9,15.6,15.8,15.8 (F: 15.9 / R: 15.6),20.9,20.5,20.7,20.7 (F: 20.9 / R: 20.5)
A32006,Boston: Soldiers Field Park - 111 Western Ave,Boston,42.36426,-71.11828,13846,13497,27343,27343 (F: 13846 / R: 13497),21.0,21.0,21.0,21% (F: 21% / R: 21%),16.5,16.1,16.3,16.3 (F: 16.5 / R: 16.1),13.7,13.9,13.8,13.8 (F: 13.7 / R: 13.9),17.2,16.7,17.0,17.0 (F: 17.2 / R: 16.7)
A32008,Boston: Park Dr at Buswell St,Boston,42.34724,-71.10530,12738,13847,26585,26585 (F: 12738 / R: 13847),27.0,25.0,26.0,26% (F: 27% / R: 25%),14.9,13.9,14.4,14.4 (F: 14.9 / R: 13.9),12.2,11.8,12.0,12.0 (F: 12.2 / R: 11.8),15.9,14.6,15.2,15.2 (F: 15.9 / R: 14.6)
A32009,Boston: South End Library - Tremont St at W Newton St,Boston,42.34133,-71.07684,12733,12797,25530,25530 (F: 12733 / R: 12797),23.0,24.0,23.0,23% (F: 23% / R: 24%),13.0,12.7,12.9,12.9 (F: 13.0 / R: 12.7),12.7,11.8,12.3,12.3 (F: 12.7 / R: 11.8),13.1,12.9,13.0,13.0 (F: 13.1 / R: 12.9)
A32010,Boston: South Station - 700 Atlantic Ave,Boston,42.35218,-71.05558,37288,38319,75607,75607 (F: 37288 / R: 38319),30.0,30.0,30.0,30% (F: 30% / R: 30%),14.9,14.5,14.7,14.7 (F: 14.9 / R: 14.5),12.6,13.1,12.9,12.9 (F: 12.6 / R: 13.1),15.9,15.0,15.5,15.5 (F: 15.9 / R: 15.0)
